"Data";"Ocorrência";"Freqüência";"Tensão R";"Corrente R";"Fat,Pot, R";"Tensão S";"Corrente S";"Fat,Pot, S";"Tensão T";"Corrente T";"Fat,Pot T"
"07/07/2019 05:05:10";"01";"59,8";"221,25";"1,57";"0,16";"218,48";"1,45";"0,03";"218,7";"1,55";"0,32"
"07/07/2019 05:05:20";"01";"60";"221,17";"1,57";"0,16";"218,48";"1,45";"0,03";"218,64";"1,55";"0,32"
"07/07/2019 05:05:30";"01";"60";"221,25";"1,55";"0,16";"218,53";"1,45";"0,03";"218,67";"1,55";"0,32"
"07/07/2019 05:05:40";"01";"60";"221,25";"1,55";"0,16";"218,59";"1,45";"0,03";"218,78";"1,55";"0,32"
"07/07/2019 05:05:50";"01";"60";"221,23";"1,57";"0,16";"218,53";"1,45";"0,03";"218,75";"1,57";"0,32"
"07/07/2019 05:06:00";"01";"59,8";"221,21";"1,55";"0,16";"218,59";"1,45";"0,03";"218,73";"1,57";"0,34"
"07/07/2019 05:06:10";"01";"60";"221,23";"1,57";"0,16";"218,57";"1,45";"0,03";"218,78";"1,57";"0,32"
"07/07/2019 05:06:20";"01";"60";"221,2";"1,55";"0,16";"218,46";"1,45";"0,03";"218,71";"1,57";"0,32"
"07/07/2019 05:06:30";"01";"60";"221,21";"1,57";"0,16";"218,45";"1,45";"0,03";"218,64";"1,55";"0,34"
"07/07/2019 05:06:40";"01";"59,8";"221,28";"1,57";"0,16";"218,57";"1,45";"0,03";"218,75";"1,57";"0,32"
"07/07/2019 05:06:50";"01";"60";"221,25";"1,55";"0,16";"218,64";"1,45";"0,03";"218,85";"1,57";"0,32"
"07/07/2019 05:07:00";"01";"60";"221,21";"1,55";"0,16";"218,6";"1,45";"0,03";"218,78";"1,55";"0,32"
"07/07/2019 05:07:10";"01";"59,8";"221,25";"1,55";"0,16";"218,62";"1,45";"0,03";"218,82";"1,57";"0,34"
"07/07/2019 05:07:20";"01";"60";"221,25";"1,57";"0,16";"218,5";"1,45";"0,03";"218,75";"1,57";"0,32"
"07/07/2019 05:07:30";"01";"60";"221,25";"1,57";"0,16";"218,48";"1,45";"0,03";"218,67";"1,57";"0,32"
"07/07/2019 05:07:40";"01";"60";"221,28";"1,57";"0,16";"218,53";"1,45";"0,03";"218,73";"1,57";"0,32"
"07/07/2019 05:07:50";"01";"60";"221,25";"1,55";"0,16";"218,5";"1,45";"0,03";"218,75";"1,57";"0,32"
"07/07/2019 05:08:00";"01";"59,8";"221,23";"1,57";"0,16";"218,5";"1,45";"0,03";"218,7";"1,57";"0,32"
"07/07/2019 05:08:10";"01";"59,8";"221,25";"1,57";"0,16";"218,46";"1,45";"0,03";"218,67";"1,55";"0,32"
"07/07/2019 05:08:20";"01";"60";"221,25";"1,55";"0,16";"218,53";"1,45";"0,03";"218,73";"1,55";"0,34"
"07/07/2019 05:08:30";"01";"60";"221,23";"1,57";"0,16";"218,57";"1,45";"0,03";"218,78";"1,55";"0,34"
"07/07/2019 05:08:41";"01";"59,8";"221,25";"1,57";"0,16";"218,59";"1,45";"0,03";"218,78";"1,55";"0,32"
"07/07/2019 05:08:51";"01";"60";"221,25";"1,57";"0,16";"218,53";"1,45";"0,03";"218,71";"1,55";"0,34"
