,Data,Tensão R,Corrente R,FP R,Tensão S,Corrente S,FP S,Tensão T,Corrente T,FP T,Pot R KVA,Pot S KVA,Pot T KVA,Pot R KW,Pot S KW,Pot T KW,Pot R KVAr,Pot S KVAr,Pot T KVAr,Pot R KVAr faltante,Pot S KVAr faltante,Pot T KVAr faltante
2879,2019-07-11 19:22:40,221.53,32.12,0.83,219.0,34.05,0.8,218.98,33.1,0.95,12.32448,12.91582,12.55432,10.22932,10.33265,11.9266,6.87415,7.74949,3.92008,2.04395,2.68754,-1.00018
2889,2019-07-11 19:26:00,221.5,23.75,0.94,218.81,25.52,0.91,218.81,26.52,1.0,9.11167,9.67183,10.05082,8.56497,8.80136,10.05082,3.10867,4.01002,0.0,-0.46236,0.21945,-3.9391
2890,2019-07-11 19:26:10,221.59,23.72,0.94,218.75,25.62,0.91,218.75,27.02,1.0,9.10386,9.70706,10.2375,8.55763,8.83343,10.2375,3.106,4.02463,0.0,-0.46197,0.22025,-4.01227
2891,2019-07-11 19:26:20,221.62,23.75,0.94,218.75,25.6,0.91,218.78,27.05,1.0,9.11661,9.69948,10.25027,8.56961,8.82653,10.25027,3.11035,4.02149,0.0,-0.46261,0.22008,-4.01727
2892,2019-07-11 19:26:30,221.5,23.7,0.94,218.73,25.6,0.91,218.7,27.05,1.0,9.09249,9.6986,10.24653,8.54694,8.82572,10.24653,3.10212,4.02112,0.0,-0.46139,0.22006,-4.0158
2893,2019-07-11 19:26:40,221.5,23.67,0.94,218.75,25.6,0.91,218.7,27.07,1.0,9.08098,9.69948,10.2541,8.53612,8.82653,10.2541,3.0982,4.02149,0.0,-0.4608,0.22008,-4.01877
2903,2019-07-11 19:29:10,222.2,24.75,0.96,219.5,26.47,0.91,219.39,25.97,1.0,9.52533,10.0635,9.86846,9.14431,9.15779,9.86846,2.66709,4.17241,0.0,-1.06606,0.22834,-3.86763
2904,2019-07-11 19:29:20,222.35,24.1,0.96,219.6,25.72,0.91,219.42,26.8,1.0,9.28143,9.78282,10.18525,8.91017,8.90236,10.18525,2.5988,4.05604,0.0,-1.03876,0.22197,-3.99179
2905,2019-07-11 19:29:30,222.42,24.15,0.96,219.62,25.72,0.91,219.42,26.77,1.0,9.30361,9.78371,10.17385,8.93147,8.90317,10.17385,2.60501,4.05641,0.0,-1.04125,0.22199,-3.98732
2906,2019-07-11 19:29:40,222.42,24.15,0.96,219.62,25.77,0.91,219.46,26.82,1.0,9.30361,9.80273,10.19471,8.93147,8.92048,10.19471,2.60501,4.06429,0.0,-1.04125,0.22242,-3.99549
2907,2019-07-11 19:29:50,222.37,24.1,0.96,219.7,25.85,0.91,219.56,26.82,1.0,9.28226,9.83674,10.19935,8.91097,8.95143,10.19935,2.59903,4.07839,0.0,-1.03886,0.22319,-3.99731
2908,2019-07-11 19:30:00,222.35,24.0,0.96,219.75,25.87,0.91,219.57,26.85,1.0,9.24292,9.84659,10.21123,8.8732,8.9604,10.21123,2.58802,4.08248,0.0,-1.03445,0.22342,-4.00197
2909,2019-07-11 19:30:10,222.37,24.02,0.96,219.78,25.8,0.91,219.6,26.92,1.0,9.25145,9.82129,10.23925,8.88139,8.93737,10.23925,2.59041,4.07199,0.0,-1.03541,0.22284,-4.01295
2910,2019-07-11 19:30:20,222.42,24.07,0.96,219.71,25.77,0.91,219.59,26.92,1.0,9.27279,9.80674,10.23878,8.90188,8.92414,10.23878,2.59638,4.06596,0.0,-1.0378,0.22251,-4.01277
3316,2019-07-11 21:18:00,223.45,31.42,0.59,220.62,32.32,0.63,220.59,34.32,0.79,12.16038,12.35028,13.11275,7.17462,7.78068,10.35907,9.81833,9.59117,8.03952,5.05245,4.75087,2.90039
3317,2019-07-11 21:18:10,223.73,21.0,0.71,221.0,22.87,0.74,221.0,23.17,0.88,8.13775,8.75425,8.86909,5.7778,6.47815,7.8048,5.73061,5.88817,4.21258,2.54128,2.45722,0.73662
3318,2019-07-11 21:18:20,224.03,20.45,0.71,221.31,23.35,0.74,221.25,22.47,0.87,7.93524,8.95053,8.61087,5.63402,6.62339,7.49146,5.58801,6.02019,4.2456,2.47804,2.51231,0.87085
3319,2019-07-11 21:18:30,224.12,20.42,0.71,221.25,23.32,0.74,221.23,22.5,0.87,7.92678,8.9366,8.62159,5.62802,6.61309,7.50078,5.58205,6.01082,4.25089,2.4754,2.5084,0.87193
3320,2019-07-11 21:18:40,224.09,20.4,0.71,221.21,23.3,0.74,221.28,22.47,0.87,7.91796,8.92732,8.61204,5.62175,6.60622,7.49247,5.57584,6.00458,4.24618,2.47265,2.5058,0.87096
3324,2019-07-11 21:20:20,224.2,15.17,0.88,221.53,18.85,0.85,221.53,18.7,0.96,5.8909,7.23277,7.17521,5.18399,6.14785,6.8882,2.79802,3.8101,2.00906,0.48927,0.97544,-0.80304
3325,2019-07-11 21:20:30,224.21,14.1,0.88,221.59,17.92,0.85,221.62,17.97,0.96,5.47564,6.87779,6.89791,4.81856,5.84612,6.622,2.60078,3.6231,1.93142,0.45478,0.92757,-0.772
3326,2019-07-11 21:20:40,224.12,14.07,0.88,221.42,17.92,0.85,221.45,18.1,0.96,5.46179,6.87251,6.94248,4.80638,5.84163,6.66478,2.59421,3.62032,1.9439,0.45363,0.92686,-0.77699
3327,2019-07-11 21:20:50,223.82,12.0,0.93,221.12,17.65,1.09,221.17,19.6,1.0,4.65201,6.75979,7.50832,4.32637,-6.15141,7.50832,1.70989,2.80267,0.0,-0.11332,0.15338,-2.94265
3328,2019-07-11 21:21:00,223.7,5.87,0.93,220.82,16.8,1.09,221.0,24.37,1.0,2.27439,6.42552,9.32843,2.11518,-5.84722,9.32843,0.83597,2.66407,0.0,-0.0554,0.14579,-3.65598
3329,2019-07-11 21:21:10,223.71,5.85,0.93,220.84,16.8,1.09,221.03,24.37,1.0,2.26674,6.4261,9.32969,2.10807,-5.84775,9.32969,0.83316,2.66432,0.0,-0.05522,0.14581,-3.65648
3330,2019-07-11 21:21:20,223.75,5.87,0.92,220.78,16.8,1.09,221.0,24.37,1.0,2.2749,6.42436,9.32843,2.09291,-5.84616,9.32843,0.89157,2.66359,0.0,0.0,0.14577,-3.65598
3331,2019-07-11 21:21:30,223.71,5.87,0.93,220.71,16.8,1.09,220.89,24.37,1.0,2.27449,6.42232,9.32378,2.11528,-5.84431,9.32378,0.83601,2.66275,0.0,-0.0554,0.14572,-3.65416
3332,2019-07-11 21:21:40,223.78,5.9,0.93,220.78,16.77,1.09,221.0,24.4,1.0,2.28683,6.41288,9.33991,2.12675,-5.83572,9.33991,0.84055,2.65883,0.0,-0.0557,0.14551,-3.66048
3333,2019-07-11 21:21:50,223.73,5.87,0.92,220.75,16.77,1.09,220.98,24.37,1.0,2.27469,6.41201,9.32758,2.09272,-5.83493,9.32758,0.89149,2.65847,0.0,0.0,0.14549,-3.65565
3334,2019-07-11 21:22:00,223.73,5.87,0.93,220.75,16.77,1.09,221.0,24.35,1.0,2.27469,6.41201,9.32077,2.11547,-5.83493,9.32077,0.83609,2.65847,0.0,-0.05541,0.14549,-3.65298
3335,2019-07-11 21:22:10,223.53,5.87,0.93,220.5,16.8,1.09,220.71,24.35,1.0,2.27266,6.41621,9.30854,2.11357,-5.83875,9.30854,0.83534,2.66021,0.0,-0.05536,0.14558,-3.64819
3336,2019-07-11 21:22:20,223.48,5.9,0.93,220.39,16.8,1.09,220.56,24.35,1.0,2.28376,6.41301,9.30221,2.1239,-5.83584,9.30221,0.83942,2.65889,0.0,-0.05563,0.14551,-3.64571
3337,2019-07-11 21:22:30,223.5,5.87,0.93,220.5,16.8,1.09,220.57,24.35,1.0,2.27236,6.41621,9.30264,2.11329,-5.83875,9.30264,0.83523,2.66021,0.0,-0.05535,0.14558,-3.64587
3338,2019-07-11 21:22:40,223.48,5.87,0.93,220.53,16.8,1.09,220.64,24.35,1.0,2.27215,6.41708,9.30559,2.1131,-5.83954,9.30559,0.83515,2.66058,0.0,-0.05535,0.1456,-3.64703
3339,2019-07-11 21:22:50,223.42,5.87,0.92,220.46,16.8,1.09,220.6,24.35,1.0,2.27154,6.41505,9.3039,2.08982,-5.83769,9.3039,0.89026,2.65973,0.0,0.0,0.14556,-3.64637
3340,2019-07-11 21:23:00,223.42,5.87,0.92,220.5,16.8,1.09,220.59,24.35,1.0,2.27154,6.41621,9.30348,2.08982,-5.83875,9.30348,0.89026,2.66021,0.0,0.0,0.14558,-3.6462
3341,2019-07-11 21:23:10,223.46,5.87,0.93,220.46,16.8,1.09,220.6,24.35,1.0,2.27195,6.41505,9.3039,2.11291,-5.83769,9.3039,0.83508,2.65973,0.0,-0.05534,0.14556,-3.64637
3342,2019-07-11 21:23:20,223.56,5.87,0.93,220.53,16.8,1.09,220.64,24.32,1.0,2.27297,6.41708,9.29412,2.11386,-5.83954,9.29412,0.83545,2.66058,0.0,-0.05537,0.1456,-3.64254
3343,2019-07-11 21:23:30,223.64,5.87,0.93,220.59,16.8,1.09,220.73,24.35,1.0,2.27378,6.41883,9.30938,2.11461,-5.84113,9.30938,0.83575,2.6613,0.0,-0.05539,0.14564,-3.64852
3344,2019-07-11 21:23:40,223.6,5.87,0.93,220.56,16.77,1.09,220.7,24.35,1.0,2.27337,6.40649,9.30812,2.11424,-5.82991,9.30812,0.8356,2.65619,0.0,-0.05538,0.14536,-3.64802
3345,2019-07-11 21:23:50,224.06,5.82,0.93,221.0,16.8,1.09,221.07,24.32,1.0,2.25864,6.43076,9.31224,2.10054,-5.85199,9.31224,0.83019,2.66625,0.0,-0.05502,0.14591,-3.64964
3346,2019-07-11 21:24:00,224.14,5.82,0.93,221.12,16.8,1.09,221.28,24.32,1.0,2.25945,6.43425,9.32108,2.10129,-5.85517,9.32108,0.83048,2.66769,0.0,-0.05504,0.14599,-3.6531
3347,2019-07-11 21:24:10,223.89,5.85,0.93,220.78,16.77,1.09,220.92,24.32,1.0,2.26856,6.41288,9.30592,2.10977,-5.83572,9.30592,0.83383,2.65883,0.0,-0.05526,0.14551,-3.64716
3348,2019-07-11 21:24:20,224.0,6.7,0.94,220.92,16.8,1.09,221.03,24.32,1.0,2.59946,6.42843,9.31055,2.44349,-5.84987,9.31055,0.88687,2.66528,0.0,-0.13191,0.14586,-3.64898
3349,2019-07-11 21:24:30,223.89,6.7,0.94,220.78,16.8,1.09,220.89,24.32,1.0,2.59819,6.42436,9.30465,2.44229,-5.84616,9.30465,0.88643,2.66359,0.0,-0.13184,0.14577,-3.64666
3350,2019-07-11 21:24:40,223.5,6.75,0.94,220.42,16.8,1.09,220.6,24.35,1.0,2.61302,6.41388,9.3039,2.45623,-5.83663,9.3039,0.89149,2.65925,0.0,-0.13259,0.14553,-3.64637
3351,2019-07-11 21:24:50,223.45,6.72,0.94,220.46,16.75,1.09,220.64,24.32,1.0,2.60082,6.39595,9.29412,2.44477,-5.82032,9.29412,0.88733,2.65181,0.0,-0.13198,0.14512,-3.64254
3352,2019-07-11 21:25:00,223.57,6.72,0.94,220.56,16.75,1.09,220.71,24.3,1.0,2.60222,6.39885,9.28943,2.44608,-5.82296,9.28943,0.88781,2.65302,0.0,-0.13205,0.14519,-3.6407
3353,2019-07-11 21:25:10,223.81,6.72,0.94,220.7,16.77,1.09,220.89,24.35,1.0,2.60501,6.41056,9.31613,2.44871,-5.83361,9.31613,0.88876,2.65787,0.0,-0.13219,0.14545,-3.65116
3354,2019-07-11 21:25:20,224.06,6.7,0.94,220.89,16.77,1.09,221.03,24.3,1.0,2.60016,6.41608,9.3029,2.44415,-5.83863,9.3029,0.88711,2.66016,0.0,-0.13194,0.14558,-3.64598
3355,2019-07-11 21:25:30,223.98,6.7,0.94,220.81,16.75,1.09,221.03,24.3,1.0,2.59923,6.40611,9.3029,2.44328,-5.82956,9.3029,0.88679,2.65602,0.0,-0.1319,0.14535,-3.64598
3356,2019-07-11 21:25:40,223.98,6.7,0.94,220.92,16.77,1.09,221.03,24.32,1.0,2.59923,6.41695,9.31055,2.44328,-5.83943,9.31055,0.88679,2.66052,0.0,-0.1319,0.1456,-3.64898
3357,2019-07-11 21:25:50,224.12,6.67,0.94,220.96,16.77,1.09,221.12,24.32,1.0,2.58921,6.41811,9.31434,2.43386,-5.84048,9.31434,0.88337,2.661,0.0,-0.13139,0.14563,-3.65046
3358,2019-07-11 21:26:00,224.23,6.65,0.94,221.14,16.77,1.09,221.25,24.32,1.0,2.58271,6.42334,9.31982,2.42775,-5.84524,9.31982,0.88116,2.66317,0.0,-0.13106,0.14574,-3.65261
3359,2019-07-11 21:26:10,224.23,6.7,0.94,220.96,16.75,1.09,221.17,24.35,1.0,2.60213,6.41046,9.32794,2.446,-5.83352,9.32794,0.88778,2.65783,0.0,-0.13204,0.14545,-3.65579
3360,2019-07-11 21:26:20,223.87,6.7,0.94,220.67,16.75,1.09,220.84,24.35,1.0,2.59795,6.40205,9.31402,2.44208,-5.82586,9.31402,0.88636,2.65434,0.0,-0.13183,0.14526,-3.65034
3361,2019-07-11 21:26:30,223.73,6.7,0.94,220.59,16.75,1.09,220.71,24.35,1.0,2.59633,6.39972,9.30854,2.44055,-5.82375,9.30854,0.8858,2.65338,0.0,-0.13175,0.14521,-3.64819
3362,2019-07-11 21:26:40,223.78,6.67,0.94,220.67,16.75,1.09,220.78,24.37,1.0,2.58528,6.40205,9.31914,2.43016,-5.82586,9.31914,0.88203,2.65434,0.0,-0.13119,0.14526,-3.65234
3363,2019-07-11 21:26:50,223.78,6.7,0.94,220.73,16.72,1.09,220.95,24.32,1.0,2.59691,6.39232,9.30718,2.44109,-5.81701,9.30718,0.886,2.65031,0.0,-0.13178,0.14504,-3.64766
3364,2019-07-11 21:27:00,223.7,6.7,0.94,220.73,16.72,1.09,220.85,24.35,1.0,2.59598,6.39232,9.31445,2.44022,-5.81701,9.31445,0.88568,2.65031,0.0,-0.13173,0.14504,-3.6505
3365,2019-07-11 21:27:10,223.67,6.67,0.94,220.62,16.75,1.09,220.71,24.37,1.0,2.58401,6.40059,9.31619,2.42897,-5.82454,9.31619,0.8816,2.65374,0.0,-0.13112,0.14523,-3.65118
3366,2019-07-11 21:27:20,223.85,6.67,0.94,220.64,16.77,1.09,220.75,24.35,1.0,2.58609,6.40882,9.31023,2.43092,-5.83202,9.31023,0.88231,2.65715,0.0,-0.13123,0.14542,-3.64885
3367,2019-07-11 21:27:30,223.73,6.25,0.8,220.71,15.42,1.08,220.78,23.47,1.0,2.42195,5.89477,8.97498,1.93756,-5.42319,8.97498,1.45317,2.31027,0.0,0.50396,0.0,-3.51746
3368,2019-07-11 21:27:40,223.75,6.2,0.8,220.59,15.27,1.07,220.75,23.4,1.0,2.40279,5.83426,8.947,1.92223,-5.42586,8.947,1.44167,2.14444,0.0,0.49998,-0.14212,-3.50649
3369,2019-07-11 21:27:50,223.75,5.67,0.75,220.59,15.27,1.08,220.75,23.42,1.0,2.19739,5.83426,8.95464,1.64804,-5.36752,8.95464,1.45344,2.28655,0.0,0.59224,0.0,-3.50949
3370,2019-07-11 21:28:00,223.75,5.47,0.75,220.64,15.27,1.08,220.82,23.4,1.0,2.11988,5.83558,8.94983,1.58991,-5.36873,8.94983,1.40217,2.28707,0.0,0.57135,0.0,-3.5076
3371,2019-07-11 21:28:10,223.42,5.5,0.75,220.32,15.27,1.08,220.53,23.4,1.0,2.12836,5.82711,8.93808,1.59627,-5.36095,8.93808,1.40778,2.28375,0.0,0.57363,0.0,-3.503
3372,2019-07-11 21:28:20,223.53,5.5,0.74,220.39,15.27,1.07,220.53,23.4,1.0,2.12941,5.82897,8.93808,1.57576,-5.42094,8.93808,1.43226,2.14249,0.0,0.5977,-0.14199,-3.503
3373,2019-07-11 21:28:30,223.34,5.52,0.74,220.23,15.25,1.07,220.48,23.4,1.0,2.13534,5.81711,8.93605,1.58015,-5.40991,8.93605,1.43624,2.13813,0.0,0.59936,-0.1417,-3.5022
3374,2019-07-11 21:28:40,223.46,5.52,0.74,220.32,15.27,1.07,220.46,23.42,1.0,2.13648,5.82711,8.94288,1.581,-5.41922,8.94288,1.43701,2.14181,0.0,0.59969,-0.14194,-3.50488
3375,2019-07-11 21:28:50,223.39,5.5,0.74,220.34,15.27,1.07,220.42,23.4,1.0,2.12808,5.82764,8.93362,1.57478,-5.41971,8.93362,1.43136,2.14201,0.0,0.59733,-0.14195,-3.50125
3376,2019-07-11 21:29:00,223.39,5.5,0.74,220.34,15.27,1.08,220.42,23.4,1.0,2.12808,5.82764,8.93362,1.57478,-5.36143,8.93362,1.43136,2.28396,0.0,0.59733,0.0,-3.50125
3377,2019-07-11 21:29:10,223.42,5.47,0.75,220.34,15.27,1.07,220.48,23.4,1.0,2.11675,5.82764,8.93605,1.58756,-5.41971,8.93605,1.4001,2.14201,0.0,0.57051,-0.14195,-3.5022
3378,2019-07-11 21:29:20,223.31,5.52,0.75,220.21,15.3,1.07,220.39,23.45,1.0,2.13505,5.83565,8.95149,1.60129,-5.42715,8.95149,1.4122,2.14495,0.0,0.57544,-0.14215,-3.50825
3379,2019-07-11 21:29:30,223.34,5.5,0.75,220.25,15.32,1.07,220.37,23.4,1.0,2.1276,5.84434,8.93159,1.5957,-5.43523,8.93159,1.40727,2.14814,0.0,0.57343,-0.14236,-3.50046
3380,2019-07-11 21:29:40,223.14,5.5,0.75,220.0,15.3,1.07,220.1,23.42,1.0,2.12569,5.83008,8.92828,1.59427,-5.42198,8.92828,1.40601,2.1429,0.0,0.57292,-0.14201,-3.49915
3381,2019-07-11 21:29:50,223.03,5.52,0.75,219.89,15.3,1.07,220.07,23.42,1.0,2.13237,5.82717,8.92706,1.59928,-5.41927,8.92706,1.41043,2.14183,0.0,0.57472,-0.14194,-3.49868
3382,2019-07-11 21:30:00,223.03,5.5,0.75,219.89,15.3,1.07,220.06,23.37,1.0,2.12465,5.82717,8.90759,1.59348,-5.41927,8.90759,1.40532,2.14183,0.0,0.57263,-0.14194,-3.49105
3383,2019-07-11 21:30:10,223.0,5.52,0.75,219.87,15.27,1.07,220.1,23.4,1.0,2.13209,5.81521,8.92065,1.59906,-5.40815,8.92065,1.41024,2.13744,0.0,0.57464,-0.14165,-3.49617
3384,2019-07-11 21:30:20,222.98,5.52,0.75,219.89,15.27,1.07,220.1,23.4,1.0,2.13189,5.81574,8.92065,1.59892,-5.40864,8.92065,1.41012,2.13763,0.0,0.57459,-0.14166,-3.49617
3385,2019-07-11 21:30:30,223.0,5.52,0.75,219.98,15.3,1.07,220.1,23.42,1.0,2.13209,5.82955,8.92828,1.59906,-5.42148,8.92828,1.41024,2.14271,0.0,0.57464,-0.142,-3.49915
3386,2019-07-11 21:30:40,223.03,5.52,0.74,219.92,15.3,1.07,220.14,23.4,1.0,2.13237,5.82796,8.92227,1.57796,-5.42001,8.92227,1.43425,2.14212,0.0,0.59853,-0.14196,-3.4968
3387,2019-07-11 21:30:50,222.92,5.55,0.75,219.87,15.3,1.07,220.03,23.4,1.0,2.1429,5.82664,8.91781,1.60718,-5.41877,8.91781,1.4174,2.14164,0.0,0.57755,-0.14193,-3.49505
3388,2019-07-11 21:31:00,222.96,5.52,0.75,219.87,15.3,1.07,220.03,23.4,1.0,2.1317,5.82664,8.91781,1.59878,-5.41877,8.91781,1.40999,2.14164,0.0,0.57454,-0.14193,-3.49505
3389,2019-07-11 21:31:10,223.17,5.5,0.75,220.14,15.27,1.07,220.31,23.4,1.0,2.12598,5.82235,8.92916,1.59448,-5.41479,8.92916,1.4062,2.14006,0.0,0.57299,-0.14183,-3.4995
3390,2019-07-11 21:31:21,223.0,5.45,0.74,220.06,15.3,1.07,220.25,23.37,1.0,2.10505,5.83167,8.91529,1.55774,-5.42346,8.91529,1.41587,2.14349,0.0,0.59086,-0.14205,-3.49406
3391,2019-07-11 21:31:30,223.0,5.47,0.75,220.03,15.3,1.07,220.23,23.4,1.0,2.11277,5.83088,8.92592,1.58458,-5.42272,8.92592,1.39747,2.14319,0.0,0.56943,-0.14203,-3.49823
3392,2019-07-11 21:31:40,223.2,5.47,0.75,220.17,15.3,1.08,220.35,23.45,1.0,2.11467,5.83459,8.94987,1.586,-5.36782,8.94987,1.39872,2.28668,0.0,0.56994,0.0,-3.50762
3393,2019-07-11 21:31:50,222.98,5.5,0.75,220.0,15.3,1.07,220.12,23.4,1.0,2.12417,5.83008,8.92146,1.59313,-5.42198,8.92146,1.40501,2.1429,0.0,0.57251,-0.14201,-3.49648
3394,2019-07-11 21:32:00,223.03,5.5,0.75,219.96,15.3,1.07,220.14,23.4,1.0,2.12465,5.82902,8.92227,1.59348,-5.42099,8.92227,1.40532,2.14251,0.0,0.57263,-0.14199,-3.4968
3395,2019-07-11 21:32:10,223.0,5.5,0.75,219.92,15.27,1.07,220.07,23.4,1.0,2.12436,5.81654,8.91943,1.59327,-5.40938,8.91943,1.40513,2.13792,0.0,0.57256,-0.14168,-3.49569
3396,2019-07-11 21:32:20,222.96,5.5,0.75,219.95,15.3,1.07,220.12,23.4,1.0,2.12398,5.82876,8.92146,1.59298,-5.42074,8.92146,1.40488,2.14242,0.0,0.57245,-0.14198,-3.49648
3397,2019-07-11 21:32:30,222.95,5.47,0.74,220.0,15.27,1.07,220.17,23.4,1.0,2.1123,5.81865,8.92349,1.5631,-5.41135,8.92349,1.42075,2.1387,0.0,0.5929,-0.14174,-3.49728
3398,2019-07-11 21:32:40,222.92,5.52,0.74,219.92,15.27,1.07,220.1,23.42,1.0,2.13132,5.81654,8.92828,1.57718,-5.40938,8.92828,1.43354,2.13792,0.0,0.59824,-0.14168,-3.49915
3399,2019-07-11 21:32:50,223.03,5.5,0.75,220.0,15.3,1.07,220.14,23.42,1.0,2.12465,5.83008,8.9299,1.59348,-5.42198,8.9299,1.40532,2.1429,0.0,0.57263,-0.14201,-3.49979
3400,2019-07-11 21:33:00,223.28,5.5,0.74,220.28,15.32,1.08,220.42,23.47,1.0,2.12703,5.84513,8.96034,1.574,-5.37752,8.96034,1.43065,2.29082,0.0,0.59703,0.0,-3.51172
3401,2019-07-11 21:33:10,223.39,5.5,0.75,220.42,15.27,1.07,220.56,23.55,1.0,2.12808,5.82976,8.9966,1.59606,-5.42168,8.9966,1.40759,2.14278,0.0,0.57356,-0.14201,-3.52593
3402,2019-07-11 21:33:20,223.35,5.5,0.74,220.34,15.25,1.07,220.5,23.7,1.0,2.12769,5.82001,9.05144,1.57449,-5.41261,9.05144,1.4311,2.1392,0.0,0.59722,-0.14177,-3.54742
3403,2019-07-11 21:33:30,223.32,5.5,0.73,220.32,15.25,1.07,220.5,23.72,1.0,2.12741,5.81948,9.05908,1.55301,-5.41212,9.05908,1.45397,2.13901,0.0,0.6202,-0.14176,-3.55042
3404,2019-07-11 21:33:40,223.39,5.5,0.75,220.39,15.25,1.07,220.56,23.7,1.0,2.12808,5.82133,9.0539,1.59606,-5.41384,9.0539,1.40759,2.13969,0.0,0.57356,-0.1418,-3.54839
3405,2019-07-11 21:33:50,223.42,5.47,0.74,220.45,15.25,1.08,220.59,23.7,1.0,2.11675,5.82292,9.05513,1.5664,-5.35708,9.05513,1.42374,2.28211,0.0,0.59415,0.0,-3.54887
3406,2019-07-11 21:34:00,223.34,5.5,0.74,220.37,15.27,1.07,220.5,23.72,1.0,2.1276,5.82844,9.05908,1.57442,-5.42045,9.05908,1.43104,2.1423,0.0,0.59719,-0.14197,-3.55042
3407,2019-07-11 21:34:10,223.34,5.5,0.74,220.23,15.27,1.07,220.42,23.72,1.0,2.1276,5.82473,9.05579,1.57442,-5.417,9.05579,1.43104,2.14094,0.0,0.59719,-0.14188,-3.54913
3408,2019-07-11 21:34:20,223.42,5.47,0.74,220.25,15.3,1.07,220.45,23.7,1.0,2.11675,5.83671,9.04939,1.5664,-5.42814,9.04939,1.42374,2.14534,0.0,0.59415,-0.14218,-3.54662
3409,2019-07-11 21:34:30,223.39,5.5,0.75,220.21,15.27,1.07,220.34,23.7,1.0,2.12808,5.82421,9.04487,1.59606,-5.41651,9.04487,1.40759,2.14074,0.0,0.57356,-0.14187,-3.54485
3410,2019-07-11 21:34:40,223.32,5.5,0.74,220.28,15.3,1.07,220.46,23.7,1.0,2.12741,5.8375,9.0498,1.57428,-5.42888,9.0498,1.43091,2.14563,0.0,0.59714,-0.14219,-3.54678
3411,2019-07-11 21:34:50,223.28,5.5,0.75,220.2,15.3,1.07,220.46,23.67,1.0,2.12703,5.83538,9.03834,1.59527,-5.42691,9.03834,1.4069,2.14485,0.0,0.57328,-0.14214,-3.54229
3412,2019-07-11 21:35:00,223.28,5.5,0.74,220.23,15.3,1.07,220.45,23.72,1.0,2.12703,5.83618,9.05702,1.574,-5.42765,9.05702,1.43065,2.14514,0.0,0.59703,-0.14216,-3.54961
3413,2019-07-11 21:35:10,223.42,5.5,0.74,220.28,15.32,1.07,220.5,23.72,1.0,2.12836,5.84513,9.05908,1.57499,-5.43597,9.05908,1.43155,2.14843,0.0,0.59741,-0.14238,-3.55042
3414,2019-07-11 21:35:20,223.37,5.47,0.74,220.32,15.32,1.07,220.48,23.7,1.0,2.11628,5.8462,9.05062,1.56605,-5.43696,9.05062,1.42342,2.14882,0.0,0.59402,-0.14241,-3.5471
3415,2019-07-11 21:35:30,223.14,5.5,0.74,220.12,15.3,1.07,220.28,23.7,1.0,2.12569,5.83326,9.04241,1.57301,-5.42493,9.04241,1.42976,2.14407,0.0,0.59666,-0.14209,-3.54389
3416,2019-07-11 21:35:40,223.03,5.5,0.74,220.03,15.3,1.07,220.21,23.72,1.0,2.12465,5.83088,9.04716,1.57224,-5.42272,9.04716,1.42905,2.14319,0.0,0.59636,-0.14203,-3.54575
3417,2019-07-11 21:35:50,222.95,5.52,0.73,219.98,15.3,1.07,220.17,23.72,1.0,2.13161,5.82955,9.04552,1.55607,-5.42148,9.04552,1.45684,2.14271,0.0,0.62142,-0.142,-3.5451
3418,2019-07-11 21:36:00,223.0,5.52,0.74,220.03,15.35,1.07,220.17,23.72,1.0,2.13209,5.84993,9.04552,1.57774,-5.44044,9.04552,1.43406,2.1502,0.0,0.59845,-0.1425,-3.5451
3419,2019-07-11 21:36:10,222.81,5.5,0.74,219.75,15.35,1.07,219.95,23.7,1.0,2.12255,5.84249,9.02886,1.57069,-5.43351,9.02886,1.42764,2.14746,0.0,0.59578,-0.14232,-3.53858
3420,2019-07-11 21:36:20,222.82,5.52,0.74,219.75,15.35,1.07,219.95,23.77,1.0,2.13036,5.84249,9.05553,1.57647,-5.43351,9.05553,1.4329,2.14746,0.0,0.59797,-0.14232,-3.54903
3421,2019-07-11 21:36:30,222.85,5.52,0.74,219.82,15.32,1.07,220.06,23.72,1.0,2.13065,5.83293,9.041,1.57668,-5.42462,9.041,1.43309,2.14395,0.0,0.59805,-0.14208,-3.54333
3422,2019-07-11 21:36:40,222.81,5.52,0.74,219.89,15.32,1.07,220.09,23.7,1.0,2.13027,5.83479,9.03461,1.5764,-5.42635,9.03461,1.43283,2.14463,0.0,0.59794,-0.14213,-3.54083
3423,2019-07-11 21:36:50,222.5,5.52,0.74,219.67,15.32,1.07,219.89,23.67,1.0,2.1273,5.82895,9.01497,1.57421,-5.42092,9.01497,1.43084,2.14249,0.0,0.59711,-0.14199,-3.53313
3424,2019-07-11 21:37:00,222.48,5.47,0.74,219.64,15.32,1.07,219.78,23.7,1.0,2.10785,5.82815,9.02188,1.55981,-5.42018,9.02188,1.41775,2.14219,0.0,0.59165,-0.14197,-3.53584
3425,2019-07-11 21:37:10,222.53,5.5,0.74,219.64,15.32,1.07,219.75,23.7,1.0,2.11988,5.82815,9.02065,1.56871,-5.42018,9.02065,1.42585,2.14219,0.0,0.59503,-0.14197,-3.53536
3426,2019-07-11 21:37:20,222.57,5.52,0.75,219.64,15.3,1.07,219.89,23.7,1.0,2.12797,5.82054,9.0264,1.59598,-5.4131,9.0264,1.40752,2.1394,0.0,0.57353,-0.14178,-3.53761
