CÓD.;QUANT.;UN.;DESCRIÇÃO RESUMIDA
G130;2;m;CABO DE COBRE NU 95 mm², TÊMPERA MOLE, CLASSE 3A
G341;1;pç;"CONECTOR DE ATERRAMENTO DE COBRE, OU BRONZE ESTANHADO, COM BERÇO, PARA FIXAÇÃO DE 1 CABO DE COBRE 50 A 150 mm² EM CHAPA DE AÇO, ACOMPANHA PORCA E ARRUELA EM BRONZE SILÍCIO. REF. GFS-300, GB26


OBS.: CASO NÃO SE CONFIRME O FORNECIMENTO PELO FABRICANTE."
G357;1;pç;"CONECTOR DE COBRE, OU BRONZE ESTANHADO, COM BERÇO, PARA FIXAÇÃO/DERIVAÇÃO DE 2 CABOS DE COBRE 50 A 150 mm² EM CHAPA DE AÇO, ACOMPANHA PORCA E ARRUELA EM BRONZE SILÍCIO. REF. AFD-300, GC26


OBS.: CASO NÃO SE CONFIRME O FORNECIMENTO PELO FABRICANTE."
H108;24;pç;"ELETRODUTO DE PVC RÍGIDO, TIPO PESADO, %%C 3"" BSP, VARA DE 3,00m, FAB. TIGRE"
H308;1,5;m;"ELETRODUTO METÁLICO FLEXÍVEL, %%C 3"" BSP"
H508;3;pç;"CURVA 90º DE PVC RÍGIDO, TIPO PESADO, %%C 3"" BSP, FAB. TIGRE"
H528;30;pç;"LUVA DE PVC RÍGIDO, TIPO PESADO, %%C 3"" BSP, FAB TIGRE"
H708;3;pç;"CONETOR MACHO FIXO PARA ELETRODUTO METÁLICO FLEXÍVEL, %%C 3"" BSP"
H718;3;pç;"CONETOR FÊMEA FIXO PARA ELETRODUTO METÁLICO FLEXÍVEL, %%C 3"" BSP"
H908;3;pç;"ARRUELA DE LIGA DE ALUMÍNIO %%C 3"" BSP"
H918;3;pç;"BUCHA TERMINAL DE LIGA DE ALUMINIO %%C 3"" BSP"
H919;8;pç;"Amortecedor Vibra-Stop 3/8"" - ALTURA REGULAVEL - FORNECIDO JUNTO AO GERADOR."
