CÓD.;QUANT.;UN.;DESCRIÇÃO RESUMIDA
G130;45;m;CABO DE COBRE NU 95 mm², TÊMPERA MOLE, CLASSE 3A
G236;5;pç;"CONECTOR DE ATERRAMENTO DE COBRE OU BRONZE ESTANHADO, PARA FIXAÇÃO DE 1 CABO DE COBRE 70 A 120 mm² EM SUPERFICE DE CONCRETO. ACOMPANHA PARAFUSO ""DURIUM"" AUTOATARRAXANTE PARA  BUCHA DE NYLON Nº 12, REF. GFA-300, GBM29, PORCA E ARRUELA LISA, EM BRONZE SILÍCIO."
G341;6;pç;CONECTOR DE COBRE OU BRONZE ESTANHADO, COM BERÇO, PARA FIXAÇÃO DE 1 CABO DE COBRE 50 A 150 mm² EM CHAPA DE AÇO, ACOMPANHA PARAFUSO AUTOATARRAXANTE, PORCA E ARRUELA LISA EM BRONZE SILÍCIO.
G357;10;pç;CONECTOR DE COBRE OU BRONZE ESTANHADO, TIPO PARALELO COM BERÇO, PARA FIXAÇÃO/DERIVAÇÃO DE 2 CABOS DE COBRE 50 A 150 mm² EM CHAPA DE AÇO, ACOMPANHA PARAFUSO AUTOATARRAXANTE, PORCA E ARRUELA LISA EM BRONZE SILÍCIO.
G305;6;pç;TERMINAL DE COBRE À COMPRESSÃO, PARA CABO 95mm², REFERENCIA: TM-95 - INTELLI.
G382;10;pç;"CONECTOR DE COBRE OU BRONZE ESTANHADO, COM BERÇO, PARA FIXAÇÃO/DERIVAÇÃO DE 2 CABOS DE COBRE 50 A 150 mm2 EM SUPERFICE DE CONCRETO, ACOMPANHA PARAFUSO ""DURIUM"" AUTOATARRAXANTE PARA  BUCHA DE NYLON Nº 14, REF. AFD-300, GC26, PORCA E ARRUELA EM BRONZE SILÍCIO."
H106;6;pç;"ELETRODUTO DE PVC RÍGIDO, TIPO PESADO, %%C 2"" BSP, VARA DE 3,00m, FAB. TIGRE"
H108;6;pç;"ELETRODUTO DE PVC RÍGIDO, TIPO PESADO, %%C 3"" BSP, VARA DE 3,00m, FAB. TIGRE"
H306;8;m;"ELETRODUTO METÁLICO FLEXÍVEL, %%C 2"" BSP"
H308;8;m;"ELETRODUTO METÁLICO FLEXÍVEL, %%C 3"" BSP"
H506;3;pç;"CURVA 90º DE PVC RÍGIDO, TIPO PESADO, %%C 2"" BSP, FAB. TIGRE"
H508;4;pç;"CURVA 90º DE PVC RÍGIDO, TIPO PESADO, %%C 3"" BSP, FAB. TIGRE"
H526;12;pç;"LUVA DE PVC RÍGIDO, TIPO PESADO, %%C 2"" BSP, FAB TIGRE"
H528;15;pç;"LUVA DE PVC RÍGIDO, TIPO PESADO, %%C 3"" BSP, FAB TIGRE"
H702;6;pç;"CONETOR MACHO FIXO PARA ELETRODUTO METÁLICO FLEXÍVEL, %%C 3/4"" BSP"
H706;8;pç;"CONETOR MACHO FIXO PARA ELETRODUTO METÁLICO FLEXÍVEL, %%C 2"" BSP"
H708;8;pç;"CONETOR MACHO FIXO PARA ELETRODUTO METÁLICO FLEXÍVEL, %%C 2"" BSP"
H902;6;pç;"ARRUELA DE LIGA DE ALUMÍNIO %%C 3/4"" BSP"
H906;10;pç;"ARRUELA DE LIGA DE ALUMÍNIO %%C 2"" BSP"
H908;12;pç;"ARRUELA DE LIGA DE ALUMÍNIO %%C 3"" BSP"
H912;6;pç;"BUCHA TERMINAL DE LIGA DE ALUMÍNIO %%C 3/4"" BSP"
H916;10;pç;"BUCHA TERMINAL DE LIGA DE ALUMINIO %%C 2"" BSP"
H918;12;pç;"BUCHA TERMINAL DE LIGA DE ALUMINIO %%C 3"" BSP"
H933;3;pç;"BUCHA DE REDUÇÃO DE LIGA DE ALUMÍNIO %%C 2"" - 3/4"" BSP"
H938;3;pç;"BUCHA DE REDUÇÃO DE LIGA DE ALUMÍNIO %%C 3"" - 3/4"" BSP"
J101;2;pç;CAIXA DE LIGAÇÃO (JUNÇÃO) EM LIGA DE ALUMÍNIO FUNDIDO 750x400x200 mm, A PROVA DO TEMPO (IP-54 MÍNIMO), TAMPA PLANA, COM LACRE, ESPESSURA 5 mm.
J355;2;pç;"CAIXA DE LIGAÇÃO DE ALUMÍNIO TIPO ""T"" %%C 2"""
J355b;1;pç;"CAIXA DE LIGAÇÃO DE ALUMÍNIO TIPO ""LR"" %%C 2"""
J358;2;pç;"CAIXA DE LIGAÇÃO DE ALUMÍNIO TIPO ""T"" %%C 3"""
J358b;1;pç;"CAIXA DE LIGAÇÃO DE ALUMÍNIO TIPO ""LR"" %%C 3"""
P002;10;pç;PORCA SEXTAVADA DE AÇO GALVANIZADO, BITOLA M10
"P003

";36;pç;"PORCA SEXTAVADA DE AÇO GALVANIZADO, BITOLA M12

"
P004;12;pç;PORCA SEXTAVADA DE AÇO GALVANIZADO, BITOLA M14
P005;12;pç;PORCA SEXTAVADA DE AÇO GALVANIZADO, BITOLA M16
P032;25;pç;ARRUELA LISA DE AÇO GALVANIZADO, BITOLA M10
P033;36;pç;"ARRUELA LISA DE AÇO GALVANIZADO, BITOLA M12

"
