CÓD.;QUANT.;UN.;DESCRIÇÃO RESUMIDA
G130;30;m;CABO DE COBRE NU 95 mm², TÊMPERA MOLE, CLASSE 3A
G236;1;pç;"CONECTOR DE COBRE, PARA FIXAÇÃO DE 1 CABO DE COBRE 70 A 120 mm² EM SUPERFICE DE CONCRETO, COM PARAFUSO ""DURIUM"" AUTOATARRAXANTE PARA  BUCHA DE NYLON Nº 14, REF. GFA-300, GBM29"
G341;4;pç;CONECTOR DE COBRE, COM BERÇO, PARA FIXAÇÃO DE 1 CABO DE COBRE 50 A 150 mm² EM CHAPA DE AÇO, REF. GFS-300, GB26
G357;8;pç;CONECTOR DE COBRE, COM BERÇO, PARA FIXAÇÃO/DERIVAÇÃO DE 2 CABOS DE COBRE 50 A 150 mm² EM CHAPA DE AÇO, REF. AFD-300, GC26
G382;7;pç;"CONECTOR DE COBRE, COM BERÇO, PARA FIXAÇÃO/DERIVAÇÃO DE 2 CABOS DE COBRE 50 A 150 mm2 EM SUPERFICE DE CONCRETO, COM PARAFUSO ""DURIUM"" AUTOATARRAXANTE PARA  BUCHA DE NYLON Nº 14, REF. AFD-300, GC26

"
H106;6;pç;"ELETRODUTO DE PVC RÍGIDO, TIPO PESADO, %%C 2"" BSP, VARA DE 3,00m, FAB. TIGRE"
H305;14;m;"ELETRODUTO METÁLICO FLEXÍVEL, %%C 1.1/2"" BSP"
H506;5;pç;"CURVA 90º DE PVC RÍGIDO, TIPO PESADO, %%C 2"" BSP, FAB. TIGRE"
H526;14;pç;"LUVA DE PVC RÍGIDO, TIPO PESADO, %%C 2"" BSP, FAB TIGRE"
H702;3;pç;"CONETOR MACHO FIXO PARA ELETRODUTO METÁLICO FLEXÍVEL, %%C 3/4"" BSP"
H705;9;pç;"CONETOR MACHO FIXO PARA ELETRODUTO METÁLICO FLEXÍVEL, %%C 1.1/2"" BSP"
H902;3;pç;"ARRUELA DE LIGA DE ALUMÍNIO %%C 3/4"" BSP"
H905;1;pç;"ARRUELA DE LIGA DE ALUMÍNIO %%C 1.1/2"" BSP"
H906;4;pç;"ARRUELA DE LIGA DE ALUMÍNIO %%C 2"" BSP"
H912;3;pç;"BUCHA TERMINAL DE LIGA DE ALUMÍNIO %%C 3/4"" BSP"
H915;1;pç;"BUCHA TERMINAL DE LIGA DE ALUMÍNIO %%C 1.1/2"" BSP"
H916;4;pç;"BUCHA TERMINAL DE LIGA DE ALUMINIO %%C 2"" BSP"
H972;3;pç;"BUCHA DE REDUÇÃO DE LIGA DE ALUMÍNIO %%C 1.1/2"" - 3/4"" BSP"
J101;2;pç;CAIXA DE LIGAÇÃO EM LIGA DE ALUMÍNIO FUNDIDO 750x400x200 mm
J354;2;pç;"CAIXA DE LIGAÇÃO DE ALUMÍNIO TIPO ""T"" %%C 1.1/2"""
J354b;1;pç;"CAIXA DE LIGAÇÃO DE ALUMÍNIO TIPO ""LR"" %%C 1.1/2"""
P002;9;pç;PORCA SEXTAVADA DE AÇO GALVANIZADO, BITOLA M10
"P003

";33;pç;"PORCA SEXTAVADA DE AÇO GALVANIZADO, BITOLA M12

"
P005;12;pç;PORCA SEXTAVADA DE AÇO GALVANIZADO, BITOLA M16
P032;16;pç;ARRUELA LISA DE AÇO GALVANIZADO, BITOLA M10
P033;33;pç;"ARRUELA LISA DE AÇO GALVANIZADO, BITOLA M12

"
P035;12;pç;ARRUELA LISA DE AÇO GALVANIZADO, BITOLA M16
P073;33;pç;"ARRUELA DE PRESSÃO DE AÇO GALVANIZADO, BITOLA M12

"
P075;12;pç;ARRUELA DE PRESSÃO DE AÇO GALVANIZADO, BITOLA M16
P092;9;pç;BUCHA DE NYLON S-12
P12e;2;pç;PARAFUSO AUTOATARRAXANTE DE AÇO, CABEÇA DE PANELA, GALVANIZADO A QUENTE BITOLA M10X50 mm 
P12f;7;pç;PARAFUSO AUTOATARRAXANTE DE AÇO, CABEÇA DE PANELA, GALVANIZADO A QUENTE BITOLA M10X80 mm 
P32e;9;pç;PARAFUSO SEXTAVADO DE AÇO GALVANIZADO, ROSCA TOTAL, DIM. M10X50 mm
P33e;28;pç;PARAFUSO SEXTAVADO DE AÇO GALVANIZADO, ROSCA TOTAL, DIM. M12X50 mm
P33f;12;pç;PARAFUSO SEXTAVADO DE AÇO GALVANIZADO, ROSCA TOTAL, DIM. M12X100 mm
P33g;9;pç;PARAFUSO SEXTAVADO DE AÇO GALVANIZADO, ROSCA TOTAL, DIM. M12X130 mm
P35g;12;pç;PARAFUSO SEXTAVADO DE AÇO GALVANIZADO, ROSCA TOTAL, DIM. M16X130 mm
R635;7;pç;"ABRAÇADEIRA PARA ELETRODUTO %%C 1.1/2"" BSP"
S303;4;pç;VIGA U 6,4x38x76x830mm, GALVANIZADA A FOGO, DIMENSÕES CONFORME DETALHE 8
G305;8;pç;TERMINAL DE COBRE À COMPRESSÃO, PARA CABO 95mm², REFERENCIA: TM-95 - INTELLI.
